,Address,Balance Mainnet,Balance Fork,Difference
393,0xd4b0726d7f03261f2f9d37210d1c642ac2677f53,1999123777580059,146745263453783347,144746139676203288
394,0x4f381fb46dfde2bc9dcae2d881705749b1ed6e1a,64624922233096776101,64624028426648346101,893806448430000
395,0x3b47555f703db2acbc44b8a70558c394f9984bda,1404634316731045834,1404634316731045834,0
396,0xe6412a4208294327132c3eb4944fd993cc066e36,0,0,0
397,0x5732046a883704404f284ce41ffadd5b007fd668,0,0,0
398,0xa93d3b5d86770f8ab2130e30556a880be801a994,944820094428061564,945342169985100789,522075557039225
399,0x9017c92270f465fe35c8adf47ad9b2c344765561,2338714395099923681,2838714395099923681,500000000000000000
400,0x3658d6b19a6d903d24e82e3a7659f0a5f153beaf,0,120000000000000000,120000000000000000
401,0x6621c2314ba31c15862eb71989a26b829854c60f,0,0,0
402,0x7ab72d3cd5aaf6af805ff2b9b75c75d182420c75,0,0,0
403,0x0c0516efa711e3f8a71a8bf77494b682a1d1d22d,0,0,0
404,0xbbb2d0dd7d29e33ee3de1a9fad718f18e5e62d04,161960109072073362,961960109072073362,800000000000000000
405,0x12c4084c1f508ed0b4ebd6c143968273c25e789d,111700482360163119,109599299732615934,2101182627547185
406,0xdd15553673126d386f9e735d0cc56a96e59cc095,53272364238134272105,53272364238134272105,0
407,0xefb47fcfcad4f96c83d4ca676842fb03ef20a477,0,0,0
408,0x66d6a455dfdde005cb7c18d56fdeb5567c93213f,2762993091135127371,2732782319023783215,30210772111344156
409,0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b,0,0,0
410,0xa9b5374d38bf9cff1fac358f1c4b26384daff80e,0,0,0
411,0x6011dbdf3823cb4ffaca6ddb5a6dd737eb9795c9,1600192085680074864,1600192085680074864,0
412,0xb22b914b243bfcd736e768e04396b5b3900d7e03,0,0,0
413,0x632734882ed0127fbdf2666478df42aa916bdc84,800389577428355905,802966688807088705,2577111378732800
414,0xb976d01275b809333e3efd76d1d31fe9264466d0,51500070909737521846,51526695708860156650,26624799122634804
415,0xb22da51b44ab4c24d17925849a1cb6aa2806d249,587835330741963797,532208427296101488,55626903445862309
416,0x548d83b47b2d9be70262ca070b386ff1e830bd4d,48498108246000,21070048498108246000,21070000000000000000
417,0x8808aa2786f4fec9e9dd25feb504808935b6453d,102602786768713879,110636512512664779,8033725743950900
418,0x7bce7ee1d92838fb66b9f933054eb4790210f0a3,389764233948473237,389878330580801237,114096632328000
419,0x274260b827bb86b01cf7447af0b068c6137bff3e,216317443345654867,216245074479418667,72368866236200
420,0xfe088c5e602ccfe6f2487ffa3697eb165b852ce5,0,3842000000000000000,3842000000000000000
421,0xdcdd0d17ab8c534ea25ae21392cf27c3cba05c60,0,0,0
422,0xa011b60a5bfbdba5cbf0f3c022ac9a2bb9bf7b5e,77745859463326013,89616557043990347,11870697580664334
423,0x4eb4c7babfb5d54ab4857265b482fb6512d22dff,0,0,0
424,0x3d5a4d11afbe3d78050141844f38382804303263,0,122966370000000000,122966370000000000
425,0x71a626b0996949f88dc66bd76fd60c3caf729985,7000000000000000,7000000000000000,0
426,0xfb2cd15b437433b96fe86ea376ee4901b8c7adcb,0,2855400000000000,2855400000000000
427,0x019babcafa005dcccb316a906e11405cb6fd89f1,93825393134508896,89627451408112856,4197941726396040
428,0xb6b9718624fe0ac841d43450f681f457bdc624da,0,0,0
429,0xb8f2e40c83d5fa18bf5ba37763a8c4061843c3bc,381186305000000000,392792900000000000,11606595000000000
430,0xdbd2b4ae368e38565505705c7d6ade4b86d32f44,128418426735172419,129418426735172419,1000000000000000
431,0x8380bb3e5450b19d64886ed90a30af7570505cfc,398565773030399251,410222997164298316,11657224133899065
432,0x3ada6cbbc58df1e73c9125f61bce142f4cfec817,109695664302000,291547254894000,181851590592000
433,0x6b113626451de75986d43f5fdf67fe7fdd777a92,5165128562013112503,5224211984046166176,59083422033053673
434,0xe6ecf0e1edaaedde9bbbff8741ebfe4cca27b235,60450816333575995,56501007831144000,3949808502431995
435,0xb6bd1b9b3e6e3512bb354789289f6d8fbc0f65bc,67939590671120425,70500793472822125,2561202801701700
436,0x58f41b41ab4884520769c382d45188f9d5c31b27,12596538083100617540,12596538083100617540,0
437,0x00c2999c8b2adf4abc835cc63209533973718eb1,0,0,0
438,0x43b9a37df11e1e25fbf2ba6536ecb0603fc45fd1,106645475029142997,111157847569084497,4512372539941500
439,0x8f7ad3af85c94b11951b7f0f8f291ef2038b639e,138881844448143740,140026164108872240,1144319660728500
440,0xb6007a21d1c890742bd9a3a4e2c0ca8df646b0be,1509983840983007967,1459505986952521497,50477854030486470
441,0x25eba4179b1213109f7942f14aa3f88af9e70b6a,3311836166452544201,238731163216452544201,235419327050000000000
442,0x8a27ba710d5e0f7fa794b8d5a4a83caed9964cfd,850375749414922,7850375749414922,7000000000000000
443,0xebd8f0c87980b16d92778b95cf68c05db9746294,508793691748954401,495205981300867320,13587710448087081
444,0xc33385937c1a1cb0a964e1e462960ecb0edeaef2,651054416754875394,672638614565865394,21584197810990000
445,0x7624122c056e62739a67a2d6ecf3e105fe99725e,0,5000000000000000,5000000000000000
446,0x64f961eec2ba222dcba8fa354f03e27529b96f5b,62608284325428381,62608284325428381,0
447,0x66b13a2a4a793e07e1666255782327c2cb644305,257672792844356,5017862792844356,4760190000000000
448,0xf15a943787014461d94da08ad4040f79cd7c124e,0,0,0
449,0x85140e5afe5f0e1a62c4e551d055f6392f4ae6a9,329172540000000000,3983658810000000000,3654486270000000000
450,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,0,0,0
451,0xb60039c5c65fabf3e8b60f7aa8a6f23caa9f4752,58473862797000,7058473862797000,7000000000000000
452,0x017e45e5748f6fa27630eeafae80f65776862e52,0,19500000000000000,19500000000000000
453,0xae78736cd615f374d3085123a210448e74fc6393,0,0,0
454,0x6593e3c040efe5260f36c29deab1831f88e17d9c,4829934423234105186,4823624049042338398,6310374191766788
455,0xfe10439de7cb1f6ec01c19e86b7d2e13c6bac129,905405151770000,35505145151770000,34599740000000000
456,0x54aef07ade960bac28198f1b2135468e45788ac3,0,0,0
457,0x1c395af6ee8f262d1befb1dc3b0045fd6cb2d5da,0,0,0
458,0x470309285f87f6f4af9668f57838fa924d6a04ad,1399892153806005589548,1399887653806005589548,4500000000000000
459,0x4890739829104b7bcf83af2a8e8d1c50c18f8952,0,61210000000000000,61210000000000000
460,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,0,0,0
461,0x5c047ca20ded943cf7abf7ce2eb7ef0c3bf55f94,6620000000000000,42420000000000000,35800000000000000
462,0x334c5c860fe5f347f7a502af7062a551b45958fb,18105473036002000,5996708995817000,12108764040185000
463,0xf2000037a148ea53d3f9c24f3b8607c847b60091,93441317826003284857,93441317826003284857,0
464,0x94bf0029a3481363fd6392df8098ec96367c64b5,0,9000000000000000,9000000000000000
465,0xb924c41ec506ef555aa9332f76dba20c02360e1d,0,0,0
466,0x437a086b9481ee8f965e01e65ae5afe1bee59c08,2251240542928491111,2250286708929362270,953833999128841
467,0x346ec8579f5d40fea9f94125ee54ec8dbc904457,3362383240817800247,3380821193333671223,18437952515870976
468,0xc0f6f0ea92f506c7e9edf9f22f11b3a169550ab9,0,18900000000000000,18900000000000000
469,0x1f57cc62113c3a6346882dcf3ed49120411ac2d2,0,0,0
470,0x1410a5ca07a05edf10dd7b2ed386b508f290318b,128844909053064567,937747931683229467,808903022630164900
471,0xdd64c4493bf26a754c6aaca6fa0d52423adaa048,373928238112777983,346860497293715983,27067740819062000
472,0x99d1fa417f94dcd62bfe781a1213c092a47041bc,0,0,0
473,0x58cbe30779845c10abaa20dd3ccbac306bdce851,123030750307657231,215530750307657231,92500000000000000
